ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade,Range,Total of A,Assignment of A,Midterm of A,Final of A,Assignment A (30),Midterm 30,final 35,Assignment B (30),Midterm B 30,final 35,meanA,meanB+,meanB,meanC+,meanC,meanD+,meanD,meanF
XX15742,10,33,78,3,11.55,27.3,42,F,41-50, , , , , , , ,3,11.55,27.3, , , , , , , ,42
XX15743,33,33,60,9.9,11.55,21,42,F,41-50, , , , , , , ,9.9,11.55,21, , , , , , , ,42
XX15744,83,33,60,24.9,11.55,21,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15745,60,73,38,18,25.55,13.3,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15746,50,23,85,15,8.05,29.75,53,D,51-60, , , , ,15,8.05,29.75, , , , , , , , , ,53, 
XX15747,67,63,72,20.1,22.05,25.2,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX15748,57,53,68,17.1,18.55,23.8,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX15749,37,23,50,11.1,8.05,17.5,37,F,31-40, , , , , , , ,11.1,8.05,17.5, , , , , , , ,37
XX15750,33,0,28,9.9,0,9.8,20,F,11-20, , , , , , , ,9.9,0,9.8, , , , , , , ,20
XX15751,87,10,12,26.1,3.5,4.2,34,F,31-40, , , , , , , ,26.1,3.5,4.2, , , , , , , ,34
XX15752,43,77,18,12.9,26.95,6.3,46,F,41-50, , , , , , , ,12.9,26.95,6.3, , , , , , , ,46
XX15753,23,3,28,6.9,1.05,9.8,18,F,11-20, , , , , , , ,6.9,1.05,9.8, , , , , , , ,18
XX15754,50,73,30,15,25.55,10.5,51,D,51-60, , , , ,15,25.55,10.5, , , , , , , , , ,51, 
XX15755,70,20,2,21,7,0.7,29,F,21-30, , , , , , , ,21,7,0.7, , , , , , , ,29
XX15756,83,77,75,24.9,26.95,26.25,78,B+,71-80, , , , , , , , , , , ,78, , , , , , 
XX15757,30,67,32,9,23.45,11.2,44,F,41-50, , , , , , , ,9,23.45,11.2, , , , , , , ,44
XX15758,73,40,80,21.9,14,28,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX15759,0,37,92,0,12.95,32.2,45,F,41-50, , , , , , , ,0,12.95,32.2, , , , , , , ,45
XX15760,83,67,38,24.9,23.45,13.3,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15761,37,0,48,11.1,0,16.8,28,F,21-30, , , , , , , ,11.1,0,16.8, , , , , , , ,28
XX15762,3,60,48,0.9,21,16.8,39,F,31-40, , , , , , , ,0.9,21,16.8, , , , , , , ,39
XX15763,27,37,55,8.1,12.95,19.25,40,F,31-40, , , , , , , ,8.1,12.95,19.25, , , , , , , ,40
XX15764,63,27,8,18.9,9.45,2.8,31,F,31-40, , , , , , , ,18.9,9.45,2.8, , , , , , , ,31
XX15765,3,57,92,0.9,19.95,32.2,53,D,51-60, , , , ,0.9,19.95,32.2, , , , , , , , , ,53, 
XX15766,63,3,85,18.9,1.05,29.75,50,D,41-50, , , , ,18.9,1.05,29.75, , , , , , , , , ,50, 
XX15767,87,7,85,26.1,2.45,29.75,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15768,33,70,80,9.9,24.5,28,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15769,7,7,100,2.1,2.45,35,40,F,31-40, , , , , , , ,2.1,2.45,35, , , , , , , ,40
XX15770,43,33,88,12.9,11.55,30.8,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX15771,40,93,92,12,32.55,32.2,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX15772,40,57,8,12,19.95,2.8,35,F,31-40, , , , , , , ,12,19.95,2.8, , , , , , , ,35
XX15773,40,60,18,12,21,6.3,39,F,31-40, , , , , , , ,12,21,6.3, , , , , , , ,39
XX15774,77,33,12,23.1,11.55,4.2,39,F,31-40, , , , , , , ,23.1,11.55,4.2, , , , , , , ,39
XX15775,3,77,95,0.9,26.95,33.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15776,27,20,78,8.1,7,27.3,42,F,41-50, , , , , , , ,8.1,7,27.3, , , , , , , ,42
XX15777,30,50,98,9,17.5,34.3,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15778,37,30,72,11.1,10.5,25.2,47,F,41-50, , , , , , , ,11.1,10.5,25.2, , , , , , , ,47
XX15779,50,10,78,15,3.5,27.3,46,F,41-50, , , , , , , ,15,3.5,27.3, , , , , , , ,46
XX15780,77,77,60,23.1,26.95,21,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX15781,0,80,2,0,28,0.7,29,F,21-30, , , , , , , ,0,28,0.7, , , , , , , ,29
XX15782,77,27,38,23.1,9.45,13.3,46,F,41-50, , , , , , , ,23.1,9.45,13.3, , , , , , , ,46
XX15783,100,90,90,30,31.5,31.5,93,A,91-100,93,100,90,90, , , , , , ,93, , , , , , , 
XX15784,93,13,35,27.9,4.55,12.25,45,F,41-50, , , , , , , ,27.9,4.55,12.25, , , , , , , ,45
XX15785,67,97,80,20.1,33.95,28,82,A,81-90,82,67,97,80, , , , , , ,82, , , , , , , 
XX15786,83,13,92,24.9,4.55,32.2,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15787,50,93,48,15,32.55,16.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX15788,30,3,35,9,1.05,12.25,22,F,21-30, , , , , , , ,9,1.05,12.25, , , , , , , ,22
XX15789,70,23,88,21,8.05,30.8,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX15790,37,50,80,11.1,17.5,28,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15791,10,57,48,3,19.95,16.8,40,F,31-40, , , , , , , ,3,19.95,16.8, , , , , , , ,40
XX15792,0,83,62,0,29.05,21.7,51,D,51-60, , , , ,0,29.05,21.7, , , , , , , , , ,51, 
XX15793,3,83,80,0.9,29.05,28,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15794,3,60,20,0.9,21,7,29,F,21-30, , , , , , , ,0.9,21,7, , , , , , , ,29
XX15795,83,70,82,24.9,24.5,28.7,78,B+,71-80, , , , , , , , , , , ,78, , , , , , 
XX15796,73,53,62,21.9,18.55,21.7,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15797,73,63,90,21.9,22.05,31.5,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX15798,27,33,95,8.1,11.55,33.25,53,D,51-60, , , , ,8.1,11.55,33.25, , , , , , , , , ,53, 
XX15799,40,47,20,12,16.45,7,35,F,31-40, , , , , , , ,12,16.45,7, , , , , , , ,35
XX15800,63,33,88,18.9,11.55,30.8,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15801,37,7,0,11.1,2.45,0,14,F,11-20, , , , , , , ,11.1,2.45,0, , , , , , , ,14
XX15802,7,43,82,2.1,15.05,28.7,46,F,41-50, , , , , , , ,2.1,15.05,28.7, , , , , , , ,46
XX15803,33,23,88,9.9,8.05,30.8,49,F,41-50, , , , , , , ,9.9,8.05,30.8, , , , , , , ,49
XX15804,70,20,70,21,7,24.5,53,D,51-60, , , , ,21,7,24.5, , , , , , , , , ,53, 
XX15805,20,0,28,6,0,9.8,16,F,11-20, , , , , , , ,6,0,9.8, , , , , , , ,16
XX15806,80,100,45,24,35,15.75,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX15807,77,100,8,23.1,35,2.8,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15808,93,63,82,27.9,22.05,28.7,79,B+,71-80, , , , , , , , , , , ,79, , , , , , 
XX15809,20,27,95,6,9.45,33.25,49,F,41-50, , , , , , , ,6,9.45,33.25, , , , , , , ,49
XX15810,87,30,90,26.1,10.5,31.5,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX15811,20,7,60,6,2.45,21,29,F,21-30, , , , , , , ,6,2.45,21, , , , , , , ,29
XX15812,20,97,62,6,33.95,21.7,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15813,73,60,88,21.9,21,30.8,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX15814,67,77,98,20.1,26.95,34.3,81,A,81-90,81,67,77,98, , , , , , ,81, , , , , , , 
XX15815,13,33,88,3.9,11.55,30.8,46,F,41-50, , , , , , , ,3.9,11.55,30.8, , , , , , , ,46
XX15816,53,57,85,15.9,19.95,29.75,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15817,10,60,100,3,21,35,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX15818,60,73,50,18,25.55,17.5,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15819,7,43,75,2.1,15.05,26.25,43,F,41-50, , , , , , , ,2.1,15.05,26.25, , , , , , , ,43
XX15820,67,30,75,20.1,10.5,26.25,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15821,60,90,68,18,31.5,23.8,73,B,71-80, , , , , , , , , , , , ,73, , , , , 
XX15822,40,87,50,12,30.45,17.5,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX15823,50,7,50,15,2.45,17.5,35,F,31-40, , , , , , , ,15,2.45,17.5, , , , , , , ,35
XX15824,57,30,32,17.1,10.5,11.2,39,F,31-40, , , , , , , ,17.1,10.5,11.2, , , , , , , ,39
XX15825,13,33,25,3.9,11.55,8.75,24,F,21-30, , , , , , , ,3.9,11.55,8.75, , , , , , , ,24
XX15826,10,97,78,3,33.95,27.3,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX15827,33,33,92,9.9,11.55,32.2,54,D,51-60, , , , ,9.9,11.55,32.2, , , , , , , , , ,54, 
XX15828,90,40,5,27,14,1.75,43,F,41-50, , , , , , , ,27,14,1.75, , , , , , , ,43
XX15829,23,23,80,6.9,8.05,28,43,F,41-50, , , , , , , ,6.9,8.05,28, , , , , , , ,43
XX15830,0,10,57,0,3.5,19.95,23,F,21-30, , , , , , , ,0,3.5,19.95, , , , , , , ,23
XX15831,17,77,95,5.1,26.95,33.25,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX15832,73,3,72,21.9,1.05,25.2,48,F,41-50, , , , , , , ,21.9,1.05,25.2, , , , , , , ,48
XX15833,17,17,38,5.1,5.95,13.3,24,F,21-30, , , , , , , ,5.1,5.95,13.3, , , , , , , ,24
XX15834,23,70,85,6.9,24.5,29.75,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15835,100,97,65,30,33.95,22.75,87,A,81-90,87,100,97,65, , , , , , ,87, , , , , , , 
XX15836,87,33,100,26.1,11.55,35,73,B,71-80, , , , , , , , , , , , ,73, , , , , 
XX15837,47,53,82,14.1,18.55,28.7,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15838,63,13,0,18.9,4.55,0,23,F,21-30, , , , , , , ,18.9,4.55,0, , , , , , , ,23
XX15839,90,83,55,27,29.05,19.25,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX15840,3,57,28,0.9,19.95,9.8,31,F,31-40, , , , , , , ,0.9,19.95,9.8, , , , , , , ,31
XX15841,0,17,48,0,5.95,16.8,23,F,21-30, , , , , , , ,0,5.95,16.8, , , , , , , ,23
XX15842,57,20,42,17.1,7,14.7,39,F,31-40, , , , , , , ,17.1,7,14.7, , , , , , , ,39
XX15843,40,17,52,12,5.95,18.2,36,F,31-40, , , , , , , ,12,5.95,18.2, , , , , , , ,36
XX15844,40,73,25,12,25.55,8.75,46,F,41-50, , , , , , , ,12,25.55,8.75, , , , , , , ,46
XX15845,70,73,0,21,25.55,0,47,F,41-50, , , , , , , ,21,25.55,0, , , , , , , ,47
XX15846,37,13,70,11.1,4.55,24.5,40,F,31-40, , , , , , , ,11.1,4.55,24.5, , , , , , , ,40
XX15847,77,77,45,23.1,26.95,15.75,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15848,93,7,88,27.9,2.45,30.8,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15849,57,80,75,17.1,28,26.25,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX15850,73,10,90,21.9,3.5,31.5,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15851,7,100,68,2.1,35,23.8,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15852,97,50,30,29.1,17.5,10.5,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15853,23,13,0,6.9,4.55,0,11,F,11-20, , , , , , , ,6.9,4.55,0, , , , , , , ,11
XX15854,97,27,70,29.1,9.45,24.5,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX15855,30,40,5,9,14,1.75,25,F,21-30, , , , , , , ,9,14,1.75, , , , , , , ,25
XX15856,93,60,30,27.9,21,10.5,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX15857,23,93,75,6.9,32.55,26.25,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15858,17,53,32,5.1,18.55,11.2,35,F,31-40, , , , , , , ,5.1,18.55,11.2, , , , , , , ,35
XX15859,83,70,60,24.9,24.5,21,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX15860,3,83,0,0.9,29.05,0,30,F,21-30, , , , , , , ,0.9,29.05,0, , , , , , , ,30
XX15861,7,43,88,2.1,15.05,30.8,48,F,41-50, , , , , , , ,2.1,15.05,30.8, , , , , , , ,48
XX15862,100,30,38,30,10.5,13.3,54,D,51-60, , , , ,30,10.5,13.3, , , , , , , , , ,54, 
XX15863,23,93,78,6.9,32.55,27.3,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX15864,63,80,38,18.9,28,13.3,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX15865,10,37,22,3,12.95,7.7,24,F,21-30, , , , , , , ,3,12.95,7.7, , , , , , , ,24
XX15866,23,77,60,6.9,26.95,21,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX15867,63,67,90,18.9,23.45,31.5,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX15868,50,93,72,15,32.55,25.2,73,B,71-80, , , , , , , , , , , , ,73, , , , , 
XX15869,3,53,5,0.9,18.55,1.75,21,F,21-30, , , , , , , ,0.9,18.55,1.75, , , , , , , ,21
XX15870,73,53,72,21.9,18.55,25.2,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15871,87,97,95,26.1,33.95,33.25,93,A,91-100,93,87,97,95, , , , , , ,93, , , , , , , 
XX15872,100,20,72,30,7,25.2,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15873,63,67,72,18.9,23.45,25.2,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX15874,0,13,85,0,4.55,29.75,34,F,31-40, , , , , , , ,0,4.55,29.75, , , , , , , ,34
XX15875,63,3,35,18.9,1.05,12.25,32,F,31-40, , , , , , , ,18.9,1.05,12.25, , , , , , , ,32
XX15876,37,57,57,11.1,19.95,19.95,51,D,51-60, , , , ,11.1,19.95,19.95, , , , , , , , , ,51, 
XX15877,63,97,48,18.9,33.95,16.8,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX15878,23,87,2,6.9,30.45,0.7,38,F,31-40, , , , , , , ,6.9,30.45,0.7, , , , , , , ,38
XX15879,40,17,10,12,5.95,3.5,21,F,21-30, , , , , , , ,12,5.95,3.5, , , , , , , ,21
XX15880,37,33,75,11.1,11.55,26.25,49,F,41-50, , , , , , , ,11.1,11.55,26.25, , , , , , , ,49
XX15881,97,33,72,29.1,11.55,25.2,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15882,10,50,48,3,17.5,16.8,37,F,31-40, , , , , , , ,3,17.5,16.8, , , , , , , ,37
XX15883,30,47,25,9,16.45,8.75,34,F,31-40, , , , , , , ,9,16.45,8.75, , , , , , , ,34
XX15884,90,93,62,27,32.55,21.7,81,A,81-90,81,90,93,62, , , , , , ,81, , , , , , , 
XX15885,27,53,78,8.1,18.55,27.3,54,D,51-60, , , , ,8.1,18.55,27.3, , , , , , , , , ,54, 
XX15886,23,97,57,6.9,33.95,19.95,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15887,77,53,85,23.1,18.55,29.75,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX15888,13,3,38,3.9,1.05,13.3,18,F,11-20, , , , , , , ,3.9,1.05,13.3, , , , , , , ,18
XX15889,87,7,38,26.1,2.45,13.3,42,F,41-50, , , , , , , ,26.1,2.45,13.3, , , , , , , ,42
XX15890,57,87,2,17.1,30.45,0.7,48,F,41-50, , , , , , , ,17.1,30.45,0.7, , , , , , , ,48
XX15891,50,60,32,15,21,11.2,47,F,41-50, , , , , , , ,15,21,11.2, , , , , , , ,47
XX15892,80,13,65,24,4.55,22.75,51,D,51-60, , , , ,24,4.55,22.75, , , , , , , , , ,51, 
XX15893,67,37,88,20.1,12.95,30.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX15894,33,77,30,9.9,26.95,10.5,47,F,41-50, , , , , , , ,9.9,26.95,10.5, , , , , , , ,47
XX15895,87,100,68,26.1,35,23.8,85,A,81-90,85,87,100,68, , , , , , ,85, , , , , , , 
XX15896,0,100,92,0,35,32.2,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX15897,20,77,72,6,26.95,25.2,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15898,100,43,38,30,15.05,13.3,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15899,47,67,22,14.1,23.45,7.7,45,F,41-50, , , , , , , ,14.1,23.45,7.7, , , , , , , ,45
XX15900,67,20,60,20.1,7,21,48,F,41-50, , , , , , , ,20.1,7,21, , , , , , , ,48
XX15901,100,70,10,30,24.5,3.5,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15902,33,33,0,9.9,11.55,0,21,F,21-30, , , , , , , ,9.9,11.55,0, , , , , , , ,21
XX15903,90,47,65,27,16.45,22.75,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15904,23,47,78,6.9,16.45,27.3,51,D,51-60, , , , ,6.9,16.45,27.3, , , , , , , , , ,51, 
XX15905,30,73,8,9,25.55,2.8,37,F,31-40, , , , , , , ,9,25.55,2.8, , , , , , , ,37
XX15906,30,67,32,9,23.45,11.2,44,F,41-50, , , , , , , ,9,23.45,11.2, , , , , , , ,44
XX15907,37,43,45,11.1,15.05,15.75,42,F,41-50, , , , , , , ,11.1,15.05,15.75, , , , , , , ,42
XX15908,100,47,30,30,16.45,10.5,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15909,47,7,5,14.1,2.45,1.75,18,F,11-20, , , , , , , ,14.1,2.45,1.75, , , , , , , ,18
XX15910,90,7,68,27,2.45,23.8,53,D,51-60, , , , ,27,2.45,23.8, , , , , , , , , ,53, 
XX15911,10,10,68,3,3.5,23.8,30,F,21-30, , , , , , , ,3,3.5,23.8, , , , , , , ,30
XX15912,33,93,12,9.9,32.55,4.2,47,F,41-50, , , , , , , ,9.9,32.55,4.2, , , , , , , ,47
XX15913,27,20,22,8.1,7,7.7,23,F,21-30, , , , , , , ,8.1,7,7.7, , , , , , , ,23
XX15914,63,23,70,18.9,8.05,24.5,51,D,51-60, , , , ,18.9,8.05,24.5, , , , , , , , , ,51, 
XX15915,47,47,0,14.1,16.45,0,31,F,31-40, , , , , , , ,14.1,16.45,0, , , , , , , ,31
XX15916,0,13,98,0,4.55,34.3,39,F,31-40, , , , , , , ,0,4.55,34.3, , , , , , , ,39
XX15917,30,17,75,9,5.95,26.25,41,F,41-50, , , , , , , ,9,5.95,26.25, , , , , , , ,41
XX15918,80,50,22,24,17.5,7.7,49,F,41-50, , , , , , , ,24,17.5,7.7, , , , , , , ,49
XX15919,50,47,78,15,16.45,27.3,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX15920,23,53,38,6.9,18.55,13.3,39,F,31-40, , , , , , , ,6.9,18.55,13.3, , , , , , , ,39
XX15921,97,83,52,29.1,29.05,18.2,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX15922,63,47,95,18.9,16.45,33.25,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX15923,47,63,68,14.1,22.05,23.8,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX15924,43,50,80,12.9,17.5,28,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15925,70,37,95,21,12.95,33.25,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX15926,27,57,88,8.1,19.95,30.8,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX15927,13,87,75,3.9,30.45,26.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15928,100,37,52,30,12.95,18.2,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15929,30,60,78,9,21,27.3,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX15930,37,100,70,11.1,35,24.5,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX15931,3,13,32,0.9,4.55,11.2,17,F,11-20, , , , , , , ,0.9,4.55,11.2, , , , , , , ,17
XX15932,43,7,38,12.9,2.45,13.3,29,F,21-30, , , , , , , ,12.9,2.45,13.3, , , , , , , ,29
XX15933,43,83,12,12.9,29.05,4.2,46,F,41-50, , , , , , , ,12.9,29.05,4.2, , , , , , , ,46
XX15934,73,53,50,21.9,18.55,17.5,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15935,47,27,45,14.1,9.45,15.75,39,F,31-40, , , , , , , ,14.1,9.45,15.75, , , , , , , ,39
XX15936,83,70,15,24.9,24.5,5.25,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX15937,17,77,45,5.1,26.95,15.75,48,F,41-50, , , , , , , ,5.1,26.95,15.75, , , , , , , ,48
XX15938,73,37,88,21.9,12.95,30.8,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15939,90,83,10,27,29.05,3.5,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX15940,67,30,45,20.1,10.5,15.75,46,F,41-50, , , , , , , ,20.1,10.5,15.75, , , , , , , ,46
XX15941,93,40,100,27.9,14,35,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX15942,67,10,52,20.1,3.5,18.2,42,F,41-50, , , , , , , ,20.1,3.5,18.2, , , , , , , ,42
XX15943,7,0,88,2.1,0,30.8,33,F,31-40, , , , , , , ,2.1,0,30.8, , , , , , , ,33
XX15944,50,90,85,15,31.5,29.75,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX15945,17,30,20,5.1,10.5,7,23,F,21-30, , , , , , , ,5.1,10.5,7, , , , , , , ,23
XX15946,37,10,55,11.1,3.5,19.25,34,F,31-40, , , , , , , ,11.1,3.5,19.25, , , , , , , ,34
XX15947,13,37,57,3.9,12.95,19.95,37,F,31-40, , , , , , , ,3.9,12.95,19.95, , , , , , , ,37
XX15948,10,0,12,3,0,4.2,7,F,0-10, , , , , , , ,3,0,4.2, , , , , , , ,7
XX15949,90,93,5,27,32.55,1.75,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15950,37,10,65,11.1,3.5,22.75,37,F,31-40, , , , , , , ,11.1,3.5,22.75, , , , , , , ,37
XX15951,37,100,92,11.1,35,32.2,78,B+,71-80, , , , , , , , , , , ,78, , , , , , 
XX15952,90,83,15,27,29.05,5.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15953,77,37,72,23.1,12.95,25.2,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15954,43,3,82,12.9,1.05,28.7,43,F,41-50, , , , , , , ,12.9,1.05,28.7, , , , , , , ,43
XX15955,57,20,85,17.1,7,29.75,54,D,51-60, , , , ,17.1,7,29.75, , , , , , , , , ,54, 
XX15956,53,97,0,15.9,33.95,0,50,D,41-50, , , , ,15.9,33.95,0, , , , , , , , , ,50, 
XX15957,73,57,70,21.9,19.95,24.5,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15958,100,10,92,30,3.5,32.2,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15959,73,30,85,21.9,10.5,29.75,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX15960,83,37,57,24.9,12.95,19.95,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX15961,50,57,85,15,19.95,29.75,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX15962,97,73,85,29.1,25.55,29.75,84,A,81-90,84,97,73,85, , , , , , ,84, , , , , , , 
XX15963,7,53,55,2.1,18.55,19.25,40,F,31-40, , , , , , , ,2.1,18.55,19.25, , , , , , , ,40
XX15964,3,27,78,0.9,9.45,27.3,38,F,31-40, , , , , , , ,0.9,9.45,27.3, , , , , , , ,38
XX15965,60,40,5,18,14,1.75,34,F,31-40, , , , , , , ,18,14,1.75, , , , , , , ,34
XX15966,97,20,32,29.1,7,11.2,47,F,41-50, , , , , , , ,29.1,7,11.2, , , , , , , ,47
XX15967,80,10,40,24,3.5,14,42,F,41-50, , , , , , , ,24,3.5,14, , , , , , , ,42
XX15968,3,60,82,0.9,21,28.7,51,D,51-60, , , , ,0.9,21,28.7, , , , , , , , , ,51, 
XX15969,60,50,85,18,17.5,29.75,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX15970,53,90,18,15.9,31.5,6.3,54,D,51-60, , , , ,15.9,31.5,6.3, , , , , , , , , ,54, 
XX15971,53,43,85,15.9,15.05,29.75,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX15972,93,80,90,27.9,28,31.5,87,A,81-90,87,93,80,90, , , , , , ,87, , , , , , , 
XX15973,83,27,15,24.9,9.45,5.25,40,F,31-40, , , , , , , ,24.9,9.45,5.25, , , , , , , ,40
XX15974,93,83,45,27.9,29.05,15.75,73,B,71-80, , , , , , , , , , , , ,73, , , , , 
XX15975,97,97,88,29.1,33.95,30.8,94,A,91-100,94,97,97,88, , , , , , ,94, , , , , , , 
XX15976,87,40,68,26.1,14,23.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX15977,60,93,70,18,32.55,24.5,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX15978,40,100,68,12,35,23.8,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX15979,0,13,2,0,4.55,0.7,5,F,0-10, , , , , , , ,0,4.55,0.7, , , , , , , ,5
XX15980,90,13,28,27,4.55,9.8,41,F,41-50, , , , , , , ,27,4.55,9.8, , , , , , , ,41
XX15981,17,80,48,5.1,28,16.8,50,D,41-50, , , , ,5.1,28,16.8, , , , , , , , , ,50, 
XX15982,27,77,20,8.1,26.95,7,42,F,41-50, , , , , , , ,8.1,26.95,7, , , , , , , ,42
XX15983,83,100,22,24.9,35,7.7,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX15984,77,0,28,23.1,0,9.8,33,F,31-40, , , , , , , ,23.1,0,9.8, , , , , , , ,33
XX15985,63,60,75,18.9,21,26.25,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX15986,67,57,15,20.1,19.95,5.25,45,F,41-50, , , , , , , ,20.1,19.95,5.25, , , , , , , ,45
XX15987,80,47,10,24,16.45,3.5,44,F,41-50, , , , , , , ,24,16.45,3.5, , , , , , , ,44
XX15988,40,73,52,12,25.55,18.2,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX15989,47,33,60,14.1,11.55,21,47,F,41-50, , , , , , , ,14.1,11.55,21, , , , , , , ,47
XX15990,0,47,65,0,16.45,22.75,39,F,31-40, , , , , , , ,0,16.45,22.75, , , , , , , ,39
XX15991,13,73,50,3.9,25.55,17.5,47,F,41-50, , , , , , , ,3.9,25.55,17.5, , , , , , , ,47
